country,year,life_expectancy,under5_mortality,adolescent_fertility,secondary_school_enrollment
Afghanistan,2000,55.005,131.7,154.31,
Afghanistan,2001,55.511,127.4,152.471,14.4715099334717
Afghanistan,2002,56.225,123.1,150.161,
Afghanistan,2003,57.171,118.7,143.75,14.078049659729
Afghanistan,2004,57.81,114.2,136.93,19.2631397247314
Afghanistan,2005,58.247,109.7,130.838,20.3119602203369
Afghanistan,2006,58.553,105.1,121.635,29.6913509368896
Afghanistan,2007,58.956,100.7,117.754,29.0891704559326
Afghanistan,2008,59.708,96.3,118.979,39.090030670166
Afghanistan,2009,60.248,92.2,109.655,44.3971710205078
Afghanistan,2010,60.702,88.3,105.648,50.413688659668
Afghanistan,2011,61.25,84.6,101.659,52.198429107666
Afghanistan,2012,61.735,81.2,95.245,54.2063903808594
Afghanistan,2013,62.188,78.0,89.337,54.7542190551758
Afghanistan,2014,62.26,75.1,84.069,54.235481262207
Afghanistan,2015,62.27,72.4,81.043,53.2851409912109
Afghanistan,2016,62.646,70.0,78.13,53.5063400268555
Afghanistan,2017,62.406,67.6,75.3,55.4021492004395
Afghanistan,2018,62.443,65.4,73.021,57.0392990112305
Afghanistan,2019,62.941,63.3,70.967,
Afghanistan,2020,61.454,61.3,68.877,
Afghanistan,2021,60.417,59.3,66.599,
Afghanistan,2022,65.617,57.4,65.339,
Afghanistan,2023,66.035,55.5,64.068,
Brazil,2000,69.584,34.5,85.611,
Brazil,2001,69.98,32.2,84.155,
Brazil,2002,70.396,30.1,81.131,
Brazil,2003,70.884,28.1,78.025,
Brazil,2004,71.361,26.3,76.9,
Brazil,2005,71.832,24.6,75.968,
Brazil,2006,72.296,23.1,73.845,
Brazil,2007,72.73,21.7,71.698,
Brazil,2008,73.111,20.5,69.141,
Brazil,2009,73.457,19.5,67.334,
Brazil,2010,73.779,18.6,65.474,
Brazil,2011,74.047,17.9,64.773,
Brazil,2012,74.335,17.2,64.285,94.3209762573242
Brazil,2013,74.609,16.7,63.947,103.917678833008
